Gene_ID	Gene_Name	Rank	PageRank_Score
ENSG00000001626	CFTR	115	0.000521102504279
ENSG00000115415	STAT1	116	0.000517626568576
ENSG00000166266	CUL5	117	0.000517316606774
ENSG00000113194	FAF2	118	0.000513413600396
ENSG00000171862	PTEN	119	0.00050815348232
ENSG00000162924	REL	120	0.00050439220191
ENSG00000104964	AES	121	0.000503031469688
ENSG00000105401	CDC37	122	0.000502367350359
ENSG00000101412	E2F1	123	0.000501326995099
ENSG00000204463	BAG6	124	0.000492639762503
ENSG00000205937	RNPS1	125	0.0004911677799
ENSG00000106089	STX1A	126	0.000490753323877
ENSG00000134982	APC	127	0.000490615646724
ENSG00000155229	MMS19	128	0.000489552265345
ENSG00000159692	CTBP1	129	0.000487426550733
ENSG00000109670	FBXW7	130	0.00048496886486
ENSG00000127955	GNAI1	131	0.000482802397626
ENSG00000196363	WDR5	132	0.000476399483534
ENSG00000114353	GNAI2	133	0.000473823673146
ENSG00000175166	PSMD2	134	0.000473163160451
ENSG00000076242	MLH1	135	0.000472826113309
ENSG00000101361	NOP56	136	0.00047281817184
ENSG00000068024	HDAC4	137	0.000467858062387
ENSG00000166508	MCM7	138	0.000466768174225
ENSG00000050405	LIMA1	139	0.000464376767168
ENSG00000162735	PEX19	140	0.000463370316046
ENSG00000072201	LNX1	141	0.000461136535075
ENSG00000132170	PPARG	142	0.000461070455588
ENSG00000162521	RBBP4	143	0.000459781231622
ENSG00000100644	HIF1A	144	0.000459452179975
ENSG00000186153	WWOX	145	0.000457676843397
ENSG00000141027	NCOR1	146	0.000457081026597
ENSG00000118260	CREB1	147	0.000454747097162
ENSG00000111704	NANOG	148	0.000451396871039
ENSG00000101558	VAPA	149	0.000450770310903
ENSG00000167085	PHB	150	0.00044795951457
ENSG00000164754	RAD21	151	0.000443113212566
ENSG00000198121	LPAR1	152	0.000439421721241
ENSG00000087077	TRIP6	153	0.000438592204905
ENSG00000162692	VCAM1	154	0.00043730093716
ENSG00000120756	PLS1	155	0.000436469306681
ENSG00000189091	SF3B3	156	0.000434250279351
ENSG00000112559	MDFI	157	0.000432642134087
ENSG00000113558	SKP1	158	0.000432281276102
ENSG00000072110	ACTN1	159	0.000428085782802
ENSG00000065135	GNAI3	160	0.000427570451907
ENSG00000139197	PEX5	161	0.00042739586595
ENSG00000116560	SFPQ	162	0.000425963875308
ENSG00000167978	SRRM2	163	0.000423275917026
ENSG00000183735	TBK1	164	0.000422640074868
ENSG00000112282	MED23	165	0.000421071369663
ENSG00000167862	ICT1	166	0.000419306380624
ENSG00000204209	DAXX	167	0.000418380820801
ENSG00000197879	MYO1C	168	0.000415096945416
ENSG00000132341	RAN	169	0.000414045947844
ENSG00000132155	RAF1	170	0.000413526598614
ENSG00000101004	NINL	171	0.000411481093085
ENSG00000245848	CEBPA	172	0.000410691346193
ENSG00000067560	RHOA	173	0.00040986790314
ENSG00000071051	NCK2	174	0.000409458129648
ENSG00000096968	JAK2	175	0.000408022026539
ENSG00000280987	MATR3	176	0.000407979930778
ENSG00000015479	MATR3	177	0.000407979930778
ENSG00000133226	SRRM1	178	0.000407393212747
ENSG00000011426	ANLN	179	0.000405633206508
ENSG00000072501	SMC1A	180	0.000404863670674
ENSG00000163785	RYK	181	0.000404582066457
ENSG00000075785	RAB7A	182	0.000401683884928
ENSG00000172216	CEBPB	183	0.000401563223807
ENSG00000115524	SF3B1	184	0.000401320358806
ENSG00000135446	CDK4	185	0.000400602592169
ENSG00000107816	LZTS2	186	0.00040049597227
ENSG00000115966	ATF2	187	0.000398618042268
ENSG00000171105	INSR	188	0.000396968257652
ENSG00000131759	RARA	189	0.00039637875851
ENSG00000177889	UBE2N	190	0.000394140277799
ENSG00000102054	RBBP7	191	0.000393524627261
ENSG00000135473	PAN2	192	0.000392573636123
ENSG00000186919	ZACN	193	0.000390308146811
ENSG00000100201	DDX17	194	0.000388783586065
ENSG00000078747	ITCH	195	0.000388681453447
ENSG00000104897	SF3A2	196	0.000388391379118
ENSG00000108094	CUL2	197	0.000385415428261
ENSG00000215301	DDX3X	198	0.000382993358589
ENSG00000137337	MDC1	199	0.000382872409109
ENSG00000134057	CCNB1	200	0.000381416862033
ENSG00000166333	ILK	201	0.000381370899151
ENSG00000213585	VDAC1	202	0.000381288099237
ENSG00000171791	BCL2	203	0.000380726638641
ENSG00000132535	DLG4	204	0.000380085574843
ENSG00000163902	RPN1	205	0.000379449554572
ENSG00000198900	TOP1	206	0.000377982809114
ENSG00000109606	DHX15	207	0.000374865235442
ENSG00000158290	CUL4B	208	0.000374736149056
ENSG00000125952	MAX	209	0.000374623627436
ENSG00000136450	SRSF1	210	0.000374465541283
ENSG00000156052	GNAQ	211	0.000373295591255
ENSG00000169564	PCBP1	212	0.000372443419734
ENSG00000131051	RBM39	213	0.000372194888289
ENSG00000085832	EPS15	214	0.000369185345391
ENSG00000084676	NCOA1	215	0.000369053853009
ENSG00000170004	CHD3	216	0.000368903607552
ENSG00000094916	CBX5	217	0.000366310248057
ENSG00000132938	MTUS2	218	0.000365483242066
ENSG00000101966	XIAP	219	0.000365299363562
ENSG00000108774	RAB5C	220	0.000363544464685
ENSG00000143321	HDGF	221	0.000361554730645
ENSG00000196961	AP2A1	222	0.00036142581223
ENSG00000108055	SMC3	223	0.000361016050001
