id	filename	md5	size	state
3a2e0cf0-900d-4866-9d05-102760171688	jhu-usc.edu_SARC.HumanMethylation450.6.lvl-3.TCGA-HB-A5W3-01A-11D-A29O-05.gdc_hg38.txt	460e81db6356ac055c10213cead1e66d	141283935	released
ebf5c857-042f-4ea0-ac44-9a4ed9c3a216	jhu-usc.edu_SARC.HumanMethylation450.12.lvl-3.TCGA-QQ-A8VG-01A-11D-A37D-05.gdc_hg38.txt	98b61ffb6e4147aadd8fe22d5dc8b65d	141269979	released
453d6765-3651-48bf-b87c-ca9be8d460c9	jhu-usc.edu_SARC.HumanMethylation450.14.lvl-3.TCGA-3B-A9HS-01A-11D-A39H-05.gdc_hg38.txt	d2abfc180433b74f7ca9e1d74bebad20	141279008	released
d033c3c0-1791-4dc6-b7bd-12976c7a7d00	jhu-usc.edu_SARC.HumanMethylation450.12.lvl-3.TCGA-QQ-A8VB-01A-11D-A37D-05.gdc_hg38.txt	48604d2dc58ce113e71783050497e460	141283565	released
25f7c368-badb-4568-8b32-97df2b3df772	jhu-usc.edu_LUSC.HumanMethylation450.5.lvl-3.TCGA-22-5479-01A-31D-1947-05.gdc_hg38.txt	9823ba378ecbb81d6c5c83864fa5298e	141289255	released
500c7052-ee1a-421a-bd85-52b8e4dc402f	jhu-usc.edu_LUSC.HumanMethylation450.9.lvl-3.TCGA-77-8130-01A-11D-2245-05.gdc_hg38.txt	00144e40ea36ae2d9c54c358c61f7e2a	141294472	released
077226e9-f6ea-4d44-9ef8-88629ee01603	jhu-usc.edu_LUSC.HumanMethylation450.11.lvl-3.TCGA-58-8390-01A-11D-2324-05.gdc_hg38.txt	80e3ddab7ef9ef02281ade31cc8ea45f	141305283	released
9916ac06-a154-48f9-9309-e4751e015884	jhu-usc.edu_LUSC.HumanMethylation450.9.lvl-3.TCGA-43-8115-01A-11D-2245-05.gdc_hg38.txt	66e0a7eda7cdc11be7d8f41ecdc38cd2	141279435	released
86d2ebc7-1858-43a5-8222-430e67cf98cb	jhu-usc.edu_LUSC.HumanMethylation450.15.lvl-3.TCGA-56-A4ZJ-01A-11D-A25R-05.gdc_hg38.txt	6d3349323549abf8818619b2acc06fff	141286628	released
a05e61a5-8480-494f-9b6e-9989e1a687ca	jhu-usc.edu_LUSC.HumanMethylation450.16.lvl-3.TCGA-90-A59Q-01A-11D-A26N-05.gdc_hg38.txt	cc57b295b6f3c88aa7f09fe6f47a7f5a	141284544	released
07c1bbc9-919f-4fce-9237-e1f59eb2621c	jhu-usc.edu_LUSC.HumanMethylation450.6.lvl-3.TCGA-56-7582-01A-11D-2043-05.gdc_hg38.txt	1053c10787a04767116d9e8e7f221c3f	141291305	released
eeec9f05-5087-44b1-a1c2-d8a321cbd832	jhu-usc.edu_LUSC.HumanMethylation450.3.lvl-3.TCGA-56-5898-01A-11D-1633-05.gdc_hg38.txt	e98ff2d39eb73697a7612b53370072aa	141295004	released
a488f7e0-4939-484f-9b56-0033a3cc4f55	jhu-usc.edu_LUSC.HumanMethylation450.9.lvl-3.TCGA-56-8082-01A-11D-2245-05.gdc_hg38.txt	a608d084c17f1db4d762529a5e174bc6	141292737	released
06f5904b-91fd-43aa-ae47-1469aa425728	jhu-usc.edu_LUSC.HumanMethylation450.7.lvl-3.TCGA-43-5670-01A-21D-2123-05.gdc_hg38.txt	51e128e281a4da95f22949e4c2990a04	141297728	released
2e5de447-d192-4361-bea8-cbc3545d62b0	jhu-usc.edu_LUSC.HumanMethylation450.7.lvl-3.TCGA-68-7755-01A-11D-2123-05.gdc_hg38.txt	041e309d79c297337c83be54e4c03744	141276881	released
8ebe9695-0b54-467f-96e6-42a127132f9d	jhu-usc.edu_LUSC.HumanMethylation450.16.lvl-3.TCGA-21-A5DI-01A-31D-A26N-05.gdc_hg38.txt	9716f902fe00e2b43c8b1974ce6da8de	141294122	released
716b63e5-4558-43f2-a6c6-b89fd7521593	jhu-usc.edu_LUSC.HumanMethylation450.15.lvl-3.TCGA-85-A50M-01A-21D-A25R-05.gdc_hg38.txt	0be64c882e65fecabd10fb9d760cca80	141278363	released
c263bf9b-698c-4c1b-808a-b20401652996	jhu-usc.edu_LUSC.HumanMethylation450.16.lvl-3.TCGA-NC-A5HI-01A-11D-A26N-05.gdc_hg38.txt	b3cdf78baa91107760b03300e3b354a1	141286552	released
0b8e19d0-275a-494d-9fdb-04a2a736e66d	jhu-usc.edu_LUSC.HumanMethylation450.7.lvl-3.TCGA-52-7809-01A-21D-2123-05.gdc_hg38.txt	8a6694c5aa9fa1c64b981f19e42607c5	141289639	released
